sgRNA	Gene	Reads
HGLibA_45624	SMARCC1	837
HGLibA_57473	hsa-mir-1262	754
HGLibA_27222	LRP4	1105
HGLibA_63032	hsa-mir-6718	1143
HGLibA_32250	NODAL	1446
HGLibA_03756	ATP6V1G1	717
HGLibA_49722	TM9SF1	401
HGLibA_56760	ZNF79	587
HGLibA_45361	SLC7A2	1245
HGLibA_24872	KIF17	1361
HGLibA_34917	PAAF1	2168
HGLibA_53867	VSTM2L	599
HGLibA_06411	C5orf55	961
HGLibA_44708	SLC25A32	1571
HGLibA_54877	ZBTB4	1321
HGLibA_59414	hsa-mir-376b	516
HGLibA_54771	ZAK	1888
HGLibA_43165	SDR42E1	1489
HGLibA_13298	DKK2	709
HGLibA_59268	hsa-mir-3680-1	1598
HGLibA_37503	POLDIP2	548
HGLibA_50650	TMPRSS7	483
HGLibA_54639	YBEY	570
HGLibA_35664	PCP4L1	1959
HGLibA_60742	hsa-mir-4659a	1071
HGLibA_41817	RPAP2	432
HGLibA_01258	AGTPBP1	2544
HGLibA_07277	CASC4	958
HGLibA_64101	hsa-mir-8066	344
HGLibA_14768	EIF3C	414
HGLibA_13255	DIRAS1	906
HGLibA_23780	ITGB3	287
HGLibA_63502	hsa-mir-6831	617
HGLibA_59429	hsa-mir-378b	662
HGLibA_55699	ZNF266	1626
HGLibA_00186	ABCC8	564
HGLibA_63495	hsa-mir-6829	1500
HGLibA_37936	PPIH	707
HGLibA_06269	C3orf79	964
HGLibA_58269	hsa-mir-218-1	714
HGLibA_46188	SORCS3	837
HGLibA_00432	ACER2	1568
HGLibA_07983	CCL18	1612
HGLibA_25795	KRTAP5-3	1941
HGLibA_12317	DAP	361
HGLibA_24840	KIAA2018	1409
HGLibA_55407	ZMYM6NB	699
HGLibA_17691	FMN2	393
HGLibA_53051	UNKL	419
HGLibA_55544	ZNF182	575
HGLibA_56107	ZNF500	693
HGLibA_15713	EWSR1	69
HGLibA_23321	INO80B	96
HGLibA_40681	RCBTB2	2601
HGLibA_58262	hsa-mir-216b	657
HGLibA_43046	SCRIB	127
HGLibA_52750	UBR2	1427
HGLibA_59012	hsa-mir-33a	1127
HGLibA_52324	TUFM	607
HGLibA_18758	GCA	1427
HGLibA_50780	TNFRSF25	1243
HGLibA_47428	STEAP3	484
HGLibA_09856	CLDN12	3265
HGLibA_47627	STX17	424
HGLibA_10966	CPNE5	1550
HGLibA_62003	hsa-mir-548h-3	954
HGLibA_05731	C1orf101	1155
HGLibA_31618	NEFH	436
HGLibA_33444	OPRD1	354
HGLibA_07192	CAPRIN2	471
HGLibA_43998	SHBG	351
HGLibA_26588	LINGO2	1908
HGLibA_64515	NonTargetingControlGuideForHuman_0132	267
HGLibA_64342	hsa-mir-941-2	1316
HGLibA_10405	CNTN2	408
HGLibA_27812	M1AP	444
HGLibA_28221	MAP4K4	523
HGLibA_22631	IFIT3	700
HGLibA_20368	GRP	603
HGLibA_06591	C7orf73	1027
HGLibA_00553	ACSL1	2290
HGLibA_00143	ABCB5	700
HGLibA_58395	hsa-mir-296	243
HGLibA_44052	SHISA8	1124
HGLibA_21803	HNRNPAB	323
HGLibA_32128	NLRP6	808
HGLibA_45153	SLC43A3	548
HGLibA_25552	KRT8	115
HGLibA_56231	ZNF557	1173
HGLibA_63142	hsa-mir-6747	255
HGLibA_02456	APOA2	1005
HGLibA_25483	KRT33B	2117
HGLibA_51563	TRIM60	756
HGLibA_64501	NonTargetingControlGuideForHuman_0118	891
HGLibA_25792	KRTAP5-2	695
HGLibA_39516	PTPRM	359
HGLibA_20981	HCN4	444
HGLibA_37026	PLCXD2	1073
HGLibA_08358	CD34	844
HGLibA_56039	ZNF461	275
HGLibA_33327	OGN	905
HGLibA_34842	OXTR	764
HGLibA_62850	hsa-mir-6500	170
HGLibA_46797	SPRED3	874
HGLibA_22204	HSD3B1	660
HGLibA_16006	FAM109A	699
HGLibA_37759	POU2F2	665
HGLibA_23016	IL17RE	498
HGLibA_09688	CIB3	336
HGLibA_12028	CYCS	1591
HGLibA_29581	MOAP1	728
HGLibA_54653	YDJC	1586
HGLibA_36303	PHACTR3	522
HGLibA_38377	PRDM14	511
HGLibA_11588	CTBP2	245
HGLibA_61232	hsa-mir-4781	669
HGLibA_20727	GZMK	388
HGLibA_34250	OR5AS1	926
HGLibA_28299	MAPKAP1	534
HGLibA_59674	hsa-mir-409	1137
HGLibA_16855	FANCI	422
HGLibA_58338	hsa-mir-23c	587
HGLibA_20797	HABP4	486
HGLibA_15347	EPN3	293
HGLibA_33180	NYAP1	554
HGLibA_08671	CDH24	550
HGLibA_49746	TMBIM6	663
HGLibA_03939	AZIN1	97
HGLibA_32842	NTF4	446
HGLibA_29857	MRI1	708
HGLibA_13076	DGKI	36
HGLibA_14287	DYSF	1194
HGLibA_55266	ZFY	1320
HGLibA_18732	GBP2	984
HGLibA_02158	ANKS4B	1031
HGLibA_06255	C3orf58	1434
HGLibA_02835	ARHGEF2	886
HGLibA_53983	WBP4	329
HGLibA_24646	KIAA0586	805
HGLibA_38112	PPP1R3F	200
HGLibA_55711	ZNF274	253
HGLibA_05865	C1orf51	1025
HGLibA_15676	EVA1C	1107
HGLibA_54094	WDR44	546
HGLibA_44385	SLC13A1	633
HGLibA_18991	GGCT	304
HGLibA_41703	RNFT1	506
HGLibA_62319	hsa-mir-5697	1336
HGLibA_07034	CALML4	257
HGLibA_65328	NonTargetingControlGuideForHuman_0945	280
HGLibA_34367	OR5W2	417
HGLibA_54358	WNT2	2093
HGLibA_24200	KCNG2	107
HGLibA_32700	NRK	566
HGLibA_54783	ZBBX	945
HGLibA_27886	MAG	276
HGLibA_25218	KLHL6	558
HGLibA_38680	PROM1	362
HGLibA_55081	ZDHHC15	521
HGLibA_34821	OXGR1	437
HGLibA_07153	CAPN13	634
HGLibA_35583	PCED1A	795
HGLibA_01984	ANKRA2	1161
HGLibA_10083	CLN8	370
HGLibA_41093	RGS4	711
HGLibA_45723	SMIM11	1704
HGLibA_28810	MED6	365
HGLibA_44372	SLC12A6	361
HGLibA_32803	NT5C1A	801
HGLibA_36586	PIGS	820
HGLibA_30591	MVB12B	684
HGLibA_00155	ABCB9	1145
HGLibA_60620	hsa-mir-454	518
HGLibA_44770	SLC25A53	919
HGLibA_28082	MAN2C1	1172
HGLibA_31512	NDUFB2	358
HGLibA_34655	OSBPL3	385
HGLibA_34470	OR7C2	1129
HGLibA_01480	AKR1C1	1308
HGLibA_40584	RBM8A	368
HGLibA_18737	GBP4	1183
HGLibA_43318	SEMA3A	1693
HGLibA_60083	hsa-mir-4424	410
HGLibA_61045	hsa-mir-4737	1412
HGLibA_21605	HLA-DMB	449
HGLibA_34037	OR4L1	1278
HGLibA_14114	DUS2	1276
HGLibA_07809	CCDC59	296
HGLibA_30392	MTHFS	337
HGLibA_10077	CLN5	652
HGLibA_35820	PDE6H	1524
HGLibA_55832	ZNF33A	714
HGLibA_42503	RXFP4	963
HGLibA_34303	OR5I1	576
HGLibA_51449	TRIM28	463
HGLibA_46627	SPESP1	2599
HGLibA_21739	HMHA1	121
HGLibA_21205	HEXB	1090
HGLibA_21334	HIP1	234
HGLibA_43070	SCUBE1	648
HGLibA_55039	ZCCHC5	409
HGLibA_08786	CDK5RAP2	404
HGLibA_38159	PPP2R3B_X	543
HGLibA_51664	TRMT10B	880
HGLibA_03102	ARPP21	1485
HGLibA_33550	OR10V1	577
HGLibA_51063	TP53I13	303
HGLibA_49330	THBS4	176
HGLibA_16795	FAM91A1	505
HGLibA_14722	EIF2AK1	608
HGLibA_05516	C17orf100	432
HGLibA_55259	ZFR	851
HGLibA_06876	CACNA1A	347
HGLibA_55073	ZDHHC12	293
HGLibA_26598	LINS	829
HGLibA_23007	IL17RB	270
HGLibA_01083	ADTRP	1317
HGLibA_04372	BCS1L	471
HGLibA_59495	hsa-mir-3908	548
HGLibA_30082	MRPS28	1092
HGLibA_09511	CHODL	707
HGLibA_28735	MED10	698
HGLibA_00641	ACTN2	307
HGLibA_31758	NF1	796
HGLibA_09972	CLEC3A	1192
HGLibA_47267	ST6GALNAC2	1491
HGLibA_03043	ARMCX3	789
HGLibA_43346	SEMA4C	1311
HGLibA_49816	TMED6	873
HGLibA_30009	MRPL50	975
HGLibA_42986	SCN3A	1516
HGLibA_20807	HADHA	428
HGLibA_64606	NonTargetingControlGuideForHuman_0223	208
HGLibA_11960	CXorf65	996
HGLibA_12277	DACH2	629
HGLibA_58623	hsa-mir-3141	247
HGLibA_53329	USP30	1278
HGLibA_25982	LAMP3	1902
HGLibA_55853	ZNF347	2232
HGLibA_03049	ARMCX5	1094
HGLibA_51106	TPCN1	945
HGLibA_11206	CRNN	1741
HGLibA_17264	FDXACB1	1225
HGLibA_48359	TAS1R3	745
HGLibA_53375	USP45	930
HGLibA_23933	JAM3	452
HGLibA_11870	CXCL3	933
HGLibA_15258	EPB41L5	533
HGLibA_44341	SLC10A5	490
HGLibA_04979	BTNL8	1608
HGLibA_49393	THRB	716
HGLibA_46578	SPDYE1	215
HGLibA_08504	CDAN1	428
HGLibA_24032	KANK4	743
HGLibA_46655	SPIB	935
HGLibA_49468	TIGD3	15
HGLibA_49139	TFB1M	1243
HGLibA_38465	PRH2	1209
HGLibA_17818	FOXB2	1143
HGLibA_06533	C7orf31	464
HGLibA_24252	KCNJ11	544
HGLibA_40435	RBBP6	2105
HGLibA_34434	OR6N2	643
HGLibA_52658	UBE2S	411
HGLibA_16214	FAM160B2	64
HGLibA_15071	EML6	2826
HGLibA_32641	NR6A1	133
HGLibA_08043	CCL8	306
HGLibA_30829	MYO1D	1456
HGLibA_06660	C9	904
HGLibA_63770	hsa-mir-7-1	1308
HGLibA_56687	ZNF763	375
HGLibA_01610	ALG11	46
HGLibA_33383	OMD	1603
HGLibA_00442	ACKR2	1149
HGLibA_63205	hsa-mir-6761	492
HGLibA_25481	KRT33A	2196
HGLibA_13587	DNAJC18	512
HGLibA_19159	GJB2	976
HGLibA_42757	SART3	170
HGLibA_10645	COLGALT2	965
HGLibA_20975	HCN2	568
HGLibA_29932	MRPL23	865
HGLibA_60591	hsa-mir-4533	712
HGLibA_40336	RASGEF1C	335
HGLibA_23740	ITGA6	627
HGLibA_19804	GPHN	944
HGLibA_20958	HCFC1	1234
HGLibA_21477	HIST1H3H	1048
HGLibA_46996	SRMS	516
HGLibA_37391	PNMT	311
HGLibA_00710	ACYP1	1073
HGLibA_51675	TRMT12	786
HGLibA_17343	FGD1	850
HGLibA_25546	KRT78	298
HGLibA_11782	CUL4A	600
HGLibA_37111	PLEKHG4	773
HGLibA_29134	MGAT2	812
HGLibA_59995	hsa-mir-4319	616
HGLibA_00982	ADIPOR2	262
HGLibA_07692	CCDC170	1359
HGLibA_44066	SHOC2	1317
HGLibA_33773	OR2B6	1612
HGLibA_27255	LRRC14	1212
HGLibA_01198	AGMAT	375
HGLibA_04632	BMPR1B	615
HGLibA_21234	HGC6.3	407
HGLibA_31064	NAGA	376
HGLibA_60488	hsa-mir-4511	1851
HGLibA_52198	TTLL2	240
HGLibA_34232	OR5A2	240
HGLibA_59741	hsa-mir-4258	1265
HGLibA_40118	RAE1	1938
HGLibA_00127	ABCA9	2347
HGLibA_17306	FETUB	1121
HGLibA_27268	LRRC17	128
HGLibA_60246	hsa-mir-4460	681
HGLibA_39799	RAB11FIP3	2007
HGLibA_04436	BET3L	1036
HGLibA_23271	INADL	1527
HGLibA_42949	SCLT1	1045
HGLibA_18057	FRYL	1053
HGLibA_32364	NOVA1	807
HGLibA_22074	HRAS	627
HGLibA_40662	RC3H1	1662
HGLibA_32029	NKX1-2	391
HGLibA_00749	ADAM2	435
HGLibA_51472	TRIM35	1340
HGLibA_47484	STK32A	2338
HGLibA_30396	MTIF2	840
HGLibA_45652	SMC4	229
HGLibA_49144	TFCP2	1440
HGLibA_41374	RMI1	917
HGLibA_53054	UPB1	1732
HGLibA_52486	TYW3	1372
HGLibA_53289	USP18	216
HGLibA_00759	ADAM22	547
HGLibA_41708	RNGTT	76
HGLibA_27608	LTF	155
HGLibA_16750	FAM83D	250
HGLibA_22458	HYLS1	865
HGLibA_21661	HLX	1224
HGLibA_15379	EPS8L2	572
HGLibA_36656	PIK3R4	624
HGLibA_14871	ELAC1	956
HGLibA_22451	HYI	699
HGLibA_60734	hsa-mir-4657	750
HGLibA_20134	GPRC5D	1969
HGLibA_59974	hsa-mir-4315-1	515
HGLibA_63400	hsa-mir-6806	810
HGLibA_06813	CA5A	201
HGLibA_59855	hsa-mir-4287	247
HGLibA_53631	VGF	635
HGLibA_02337	AP3S2	1594
HGLibA_62730	hsa-mir-623	403
HGLibA_16440	FAM209B	1490
HGLibA_47274	ST6GALNAC4	671
HGLibA_01281	AGXT2L2	914
HGLibA_54222	WDR93	1214
HGLibA_64751	NonTargetingControlGuideForHuman_0368	390
HGLibA_53208	USP15	2082
HGLibA_18812	GCNT2	927
HGLibA_50694	TMX3	477
HGLibA_59950	hsa-mir-431	1843
HGLibA_63574	hsa-mir-6850	206
HGLibA_23962	JMJD7	1161
HGLibA_22573	IER2	338
HGLibA_61252	hsa-mir-4786	751
HGLibA_32020	NKIRAS2	963
HGLibA_23453	IPCEF1	254
HGLibA_16524	FAM222B	1229
HGLibA_33632	OR14C36	1121
HGLibA_57524	hsa-mir-1271	491
HGLibA_58824	hsa-mir-3182	658
HGLibA_06052	C22orf15	624
HGLibA_59542	hsa-mir-3916	1183
HGLibA_06600	C8G	484
HGLibA_15028	EMCN	889
HGLibA_40770	RECQL4	281
HGLibA_23765	ITGAX	561
HGLibA_11362	CSMD1	514
HGLibA_52685	UBE3C	454
HGLibA_45208	SLC4A11	619
HGLibA_15985	FAM103A1	3125
HGLibA_10313	CNNM1	569
HGLibA_55726	ZNF280B	301
HGLibA_09973	CLEC3A	414
HGLibA_58557	hsa-mir-3126	1111
HGLibA_46435	SPATA17	87
HGLibA_04778	BRD4	411
HGLibA_35146	PAPPA	102
HGLibA_43059	SCRT1	837
HGLibA_15725	EXO1	3845
HGLibA_09534	CHRD	1486
HGLibA_50942	TOLLIP	193
HGLibA_43243	SEC31B	1549
HGLibA_44293	SKP1	973
HGLibA_44128	SIGLEC11	244
HGLibA_57787	hsa-mir-1343	955
HGLibA_03071	ARNTL2	799
HGLibA_43652	SETD5	483
HGLibA_61142	hsa-mir-4761	396
HGLibA_04874	BSPH1	863
HGLibA_22996	IL17C	609
HGLibA_08146	CCR10	238
HGLibA_41551	RNF152	1503
HGLibA_19490	GNB2	388
HGLibA_03029	ARMC7	337
HGLibA_28137	MAP2	156
HGLibA_50198	TMEM207	164
HGLibA_34472	OR7D2	2411
HGLibA_13992	DSC2	275
HGLibA_45520	SLITRK3	546
HGLibA_45978	SNRPD2	266
HGLibA_51121	TPD52L3	389
HGLibA_51185	TPRKB	1093
HGLibA_00788	ADAMDEC1	876
HGLibA_01411	AKAP12	151
HGLibA_36549	PIGC	534
HGLibA_59491	hsa-mir-3907	929
HGLibA_12783	DEDD2	273
HGLibA_20946	HCAR1	388
HGLibA_11215	CRP	1492
HGLibA_54337	WNK3	771
HGLibA_30464	MTR	861
HGLibA_54982	ZC3H7A	432
HGLibA_44161	SIK1	631
HGLibA_14113	DUS1L	314
HGLibA_64889	NonTargetingControlGuideForHuman_0506	626
HGLibA_63545	hsa-mir-6842	655
HGLibA_19719	GPAA1	1927
HGLibA_20123	GPRASP2	2070
HGLibA_65188	NonTargetingControlGuideForHuman_0805	769
HGLibA_62943	hsa-mir-652	818
HGLibA_52454	TXNRD3NB	541
HGLibA_51725	TRPA1	1130
HGLibA_32249	NODAL	936
HGLibA_16947	FBLN2	1527
HGLibA_30468	MTRF1L	657
HGLibA_17819	FOXB2	581
HGLibA_14025	DSG2	1553
HGLibA_36499	PI4KA	1491
HGLibA_28535	MBTPS1	318
HGLibA_60272	hsa-mir-4466	681
HGLibA_42109	RPS23	1094
HGLibA_44324	SLAMF9	197
HGLibA_32301	NOP10	759
HGLibA_37279	PLXNC1	146
HGLibA_61374	hsa-mir-493	779
HGLibA_05974	C1S	1490
HGLibA_58725	hsa-mir-3161	951
HGLibA_36323	PHC3	1144
HGLibA_18170	FUOM	602
HGLibA_00327	ABRA	759
HGLibA_29800	MPZL3	1520
HGLibA_21954	HOXB9	438
HGLibA_41053	RGS10	396
HGLibA_48467	TBC1D10B	334
HGLibA_46559	SPCS1	148
HGLibA_45780	SMLR1	832
HGLibA_41692	RNF5	1107
HGLibA_16197	FAM159A	592
HGLibA_41397	RNASE12	464
HGLibA_25813	KRTAP5-9	1332
HGLibA_22883	IGSF21	904
HGLibA_10984	CPPED1	1174
HGLibA_11031	CPVL	1523
HGLibA_60966	hsa-mir-4716	418
HGLibA_03304	ASIC3	447
HGLibA_27544	LSM5	453
HGLibA_50173	TMEM200B	540
HGLibA_61788	hsa-mir-525	336
HGLibA_14634	EGFLAM	312
HGLibA_09069	CENPL	931
HGLibA_20466	GSTCD	867
HGLibA_25465	KRT27	123
HGLibA_29929	MRPL22	773
HGLibA_32096	NLRP1	1463
HGLibA_38220	PPP6R1	514
HGLibA_06273	C3orf80	705
HGLibA_11103	CREB3L4	1131
HGLibA_47467	STK19	702
HGLibA_23642	IRX6	802
HGLibA_08805	CDKL1	917
HGLibA_02869	ARHGEF5	1523
HGLibA_38063	PPP1R18	536
HGLibA_26187	LCN9	245
HGLibA_21946	HOXB7	159
HGLibA_47351	STARD10	1076
HGLibA_02247	ANXA6	1820
HGLibA_25290	KLRC3	554
HGLibA_51799	TRRAP	684
HGLibA_02065	ANKRD32	422
HGLibA_37484	POLA1	486
HGLibA_24317	KCNK2	1221
HGLibA_42197	RPSA	1785
HGLibA_08980	CECR5	130
HGLibA_33860	OR2T12	765
HGLibA_21957	HOXC10	164
HGLibA_19344	GLTP	781
HGLibA_40911	RFC4	491
HGLibA_14056	DTD2	713
HGLibA_04264	BCAT1	544
HGLibA_48244	TAF5L	340
HGLibA_31396	NDFIP2	761
HGLibA_18631	GARNL3	1099
HGLibA_19789	GPD2	775
HGLibA_31479	NDUFAB1	581
HGLibA_16287	FAM175A	968
HGLibA_36619	PIK3AP1	526
HGLibA_30399	MTIF3	618
HGLibA_36941	PLAC8	251
HGLibA_29510	MMP20	1526
HGLibA_07757	CCDC33	852
HGLibA_27352	LRRC40	429
HGLibA_39953	RAB44	169
HGLibA_57147	hsa-mir-1-2	932
HGLibA_17559	FKBP14	2799
HGLibA_27991	MAGEL2	357
HGLibA_28990	METTL23	764
HGLibA_39698	PYGO2	567
HGLibA_47318	STAC3	647
HGLibA_18102	FSTL1	824
HGLibA_12093	CYP27A1	1230
HGLibA_43422	SEPP1	619
HGLibA_52924	UGT2B28	2856
HGLibA_24461	KCTD6	1107
HGLibA_20048	GPR50	261
HGLibA_32263	NOL12	943
HGLibA_00258	ABHD16A	1034
HGLibA_00035	AADACL3	355
HGLibA_38445	PREX2	894
HGLibA_61480	hsa-mir-505	705
HGLibA_59684	hsa-mir-411	652
HGLibA_53429	UTF1	587
HGLibA_59481	hsa-mir-382	793
HGLibA_20773	H2BFM	727
HGLibA_22388	HTR3D	1669
HGLibA_27016	LONP2	2139
HGLibA_07265	CARTPT	1087
HGLibA_03483	ATG2B	2697
HGLibA_24890	KIF1C	390
HGLibA_29965	MRPL37	542
HGLibA_49550	TINAGL1	531
HGLibA_64898	NonTargetingControlGuideForHuman_0515	614
HGLibA_26089	LBX2	210
HGLibA_00567	ACSL6	537
HGLibA_03835	ATXN1L	902
HGLibA_26262	LEAP2	633
HGLibA_06354	C5AR1	535
HGLibA_49059	TEX13A	573
HGLibA_53090	UPP2	1122
HGLibA_45183	SLC46A1	251
HGLibA_31431	NDST3	1553
HGLibA_20089	GPR82	395
HGLibA_45755	SMIM3	326
HGLibA_65372	NonTargetingControlGuideForHuman_0989	663
HGLibA_31086	NAMPT	1004
HGLibA_27383	LRRC4C	1034
HGLibA_12198	CYP4V2	1422
HGLibA_07866	CCDC74B	568
HGLibA_14386	ECE2	1379
HGLibA_31883	NGRN	766
HGLibA_65079	NonTargetingControlGuideForHuman_0696	1378
HGLibA_04394	BECN1	483
HGLibA_16136	FAM135B	488
HGLibA_31398	NDN	652
HGLibA_63777	hsa-mir-7-3	804
HGLibA_39450	PTPN20A	1473
HGLibA_06210	C3orf14	2139
HGLibA_48648	TBX15	199
HGLibA_09112	CEP164	671
HGLibA_51348	TRDN	630
HGLibA_08309	CD247	648
HGLibA_19682	GORASP2	1010
HGLibA_07426	CBS	1124
HGLibA_12694	DDX31	320
HGLibA_27253	LRRC14	384
HGLibA_02648	ARF3	1335
HGLibA_28128	MAP1LC3B2	525
HGLibA_51781	TRPV1	338
HGLibA_63719	hsa-mir-6884	350
HGLibA_06121	C2orf40	815
HGLibA_27404	LRRC6	2529
HGLibA_38277	PRAMEF1	1249
HGLibA_44365	SLC12A4	1113
HGLibA_40795	REG1A	1029
HGLibA_11312	CSDC2	387
HGLibA_36173	PFN1	669
HGLibA_32541	NPVF	901
HGLibA_58619	hsa-mir-3140	243
HGLibA_01746	AMACR	459
HGLibA_33495	OR10G4	1000
HGLibA_15292	EPHA3	1023
HGLibA_51859	TSHR	746
HGLibA_38963	PRSS55	1549
HGLibA_38994	PRY	2876
HGLibA_13589	DNAJC18	1350
HGLibA_52078	TTC23	309
HGLibA_56445	ZNF644	424
HGLibA_17315	FEZ2	469
HGLibA_37325	PMP22	314
HGLibA_00016	A4GALT	927
HGLibA_49246	TGIF2LX	436
HGLibA_33525	OR10J3	430
HGLibA_49500	TIMM13	58
HGLibA_46446	SPATA20	764
HGLibA_18407	GABRR2	279
HGLibA_14879	ELAVL1	620
HGLibA_49162	TFEB	1222
HGLibA_26172	LCN12	584
HGLibA_47288	ST8SIA1	659
HGLibA_64211	hsa-mir-875	1223
HGLibA_16315	FAM180B	823
HGLibA_21614	HLA-DPA1	524
HGLibA_17098	FBXO42	816
HGLibA_34191	OR52M1	625
HGLibA_20440	GSPT1	1089
HGLibA_03026	ARMC6	312
HGLibA_34064	OR4S2	887
HGLibA_62874	hsa-mir-6506	1173
HGLibA_14388	ECEL1	563
HGLibA_00167	ABCC12	704
HGLibA_05204	C11orf87	237
HGLibA_10176	CMA1	870
HGLibA_31790	NFE2L1	556
HGLibA_00868	ADAR	759
HGLibA_48256	TAF7L	1205
HGLibA_15663	ETV5	570
HGLibA_21029	HDC	1434
HGLibA_62849	hsa-mir-650	712
HGLibA_38711	PRPF18	776
HGLibA_19967	GPR171	1357
HGLibA_13436	DMRTC1	305
HGLibA_18082	FSD2	618
HGLibA_53047	UNK	1740
HGLibA_02415	APH1B	825
HGLibA_45077	SLC38A6	758
HGLibA_08161	CCR6	1920
HGLibA_07625	CCDC144NL	1504
HGLibA_23377	INSIG1	504
HGLibA_51013	TOPORS	883
HGLibA_10401	CNTN1	824
HGLibA_35638	PCNP	795
HGLibA_23113	IL27	532
HGLibA_21015	HDAC5	1729
HGLibA_01544	ALDH1A2	690
HGLibA_49262	TGM4	577
HGLibA_61023	hsa-mir-4731	208
HGLibA_16866	FAP	1970
HGLibA_30744	MYL1	442
HGLibA_16328	FAM184A	624
HGLibA_13868	DPP3	389
HGLibA_32243	NOD1	764
HGLibA_43611	SERTAD3	549
HGLibA_22995	IL17C	509
HGLibA_38449	PRF1	91
HGLibA_21581	HK2	467
HGLibA_42820	SCAF1	1461
HGLibA_54625	YAE1D1	1213
HGLibA_12732	DDX50	815
HGLibA_27015	LONP1	363
HGLibA_15223	EOGT	950
HGLibA_45684	SMCR8	542
HGLibA_54210	WDR89	2718
HGLibA_58223	hsa-mir-2113	554
HGLibA_26560	LIN28B	705
HGLibA_15818	EYA1	666
HGLibA_19714	GP9	645
HGLibA_38992	PRX	812
HGLibA_39646	PXDC1	959
HGLibA_12943	DENND2D	3252
HGLibA_21688	HMGA2	91
HGLibA_62511	hsa-mir-605	899
HGLibA_47723	SUGT1	558
HGLibA_17690	FMN2	1136
HGLibA_63262	hsa-mir-6772	706
HGLibA_33394	ONECUT2	561
HGLibA_55166	ZFAT	462
HGLibA_10585	COL4A6	1357
HGLibA_57422	hsa-mir-1255a	627
HGLibA_33819	OR2L13	494
HGLibA_30507	MTUS2	953
HGLibA_07601	CCDC135	343
HGLibA_05298	C12orf75	218
HGLibA_13356	DLK2	1278
HGLibA_01286	AHCY	1377
HGLibA_55701	ZNF267	555
HGLibA_21208	HEXDC	726
HGLibA_12928	DENND1A	775
HGLibA_04639	BMS1	1833
HGLibA_35288	PATZ1	1330
HGLibA_51342	TRAT1	1126
HGLibA_03411	ATAD3A	201
HGLibA_59075	hsa-mir-3611	659
HGLibA_51263	TRAF6	396
HGLibA_56673	ZNF750	1127
HGLibA_25084	KLF8	1004
HGLibA_64746	NonTargetingControlGuideForHuman_0363	814
HGLibA_24326	KCNK5	744
HGLibA_36410	PHKG1	631
HGLibA_25462	KRT26	259
HGLibA_52388	TXK	1482
HGLibA_02028	ANKRD20A1	1050
HGLibA_17356	FGD6	732
HGLibA_48835	TCP10L	466
HGLibA_11976	CYB561	746
HGLibA_35738	PDCD6	902
HGLibA_50597	TMOD2	608
HGLibA_11665	CTNS	745
HGLibA_25678	KRTAP19-6	742
HGLibA_29577	MNT	1093
HGLibA_64577	NonTargetingControlGuideForHuman_0194	784
HGLibA_28103	MANSC4	781
HGLibA_56649	ZNF735	1836
HGLibA_48940	TECPR1	874
HGLibA_47794	SUN3	1742
HGLibA_00300	ABI3BP	791
HGLibA_00458	ACN9	401
HGLibA_29400	MLL3	188
HGLibA_22755	IFT27	515
HGLibA_45131	SLC3A1	1415
HGLibA_34407	OR6C74	1311
HGLibA_07045	CALR	421
HGLibA_23511	IQCF5	702
HGLibA_16815	FAM98C	176
HGLibA_51873	TSKU	428
HGLibA_20806	HADH	379
HGLibA_14819	EIF4E1B	1471
HGLibA_48082	SYT5	415
HGLibA_16587	FAM43A	499
HGLibA_63441	hsa-mir-6816	116
HGLibA_45063	SLC38A2	1175
HGLibA_08445	CD74	1028
HGLibA_44922	SLC30A9	3206
HGLibA_33404	OPA1	1286
HGLibA_34627	ORMDL2	286
HGLibA_47749	SULT1C3	416
HGLibA_09707	CIITA	516
HGLibA_18943	GFI1B	269
HGLibA_29865	MRO	1338
HGLibA_11593	CTC1	537
HGLibA_27264	LRRC16A	1508
HGLibA_19760	GPBP1L1	752
HGLibA_04304	BCL2L10	547
HGLibA_52516	UBA2	2299
HGLibA_08247	CD163L1	1942
HGLibA_43462	SERAC1	529
HGLibA_30430	MTMR4	384
HGLibA_10326	CNOT1	658
HGLibA_27842	MAD1L1	862
HGLibA_60145	hsa-mir-4436b-2	1102
HGLibA_41989	RPL6	562
HGLibA_65054	NonTargetingControlGuideForHuman_0671	122
HGLibA_34345	OR5P2	1158
HGLibA_56197	ZNF544	122
HGLibA_63785	hsa-mir-7106	686
HGLibA_51508	TRIM44	940
HGLibA_29153	MGAT5B	622
HGLibA_35877	PDIA3	1403
HGLibA_09350	CHAF1B	783
HGLibA_38064	PPP1R1A	655
HGLibA_02059	ANKRD30A	1406
HGLibA_01365	AIPL1	966
HGLibA_63327	hsa-mir-6787	195
HGLibA_41239	RIC8B	735
HGLibA_45902	SNAPC5	651
HGLibA_07914	CCDC88C	717
HGLibA_57478	hsa-mir-1264	1550
HGLibA_12997	DERL2	1406
HGLibA_14333	EAF1	453
HGLibA_12134	CYP2F1	429
HGLibA_35492	PCDHB2	458
HGLibA_32780	NSUN2	205
HGLibA_50088	TMEM179	787
HGLibA_30476	MTRNR2L2	975
HGLibA_43183	SEC11C	1123
HGLibA_37084	PLEKHA8	1276
HGLibA_64947	NonTargetingControlGuideForHuman_0564	501
HGLibA_02554	APOOL	860
HGLibA_56945	ZNRF3	1085
HGLibA_28581	MCF2L	676
HGLibA_11355	CSH2	1100
